Hyponym,Hypernym,Tag
social worker,medical source,0
interpreter,a detainee,0
hydrofoil,water,0
the Advisory Council,external stakeholder,2
design,joint project,0
imminent or credible threat,urgent situation,2
hardware,the equipment,2
which department,factor,0
direction,function,0
all relate item,fuel item,0
the development,audit program,0
classification,classification guidance,2
unit morale,combat stress,1
Cabinet member,high Government official,2
retirement,nuclear weapon stockpile,0
both government furnish material,Property,2
rain,wet weather event,2
remote equipment,the is,0
cathodic protection system,commodity,0
head,any previous physical harm,0
staffing,resource,0
annual USDA funding,management program,1
EOD,the explosive or munition emergency response specialist,2
those individual,car pool,0
scrap,487 pound,0
description,documentation,1
current contract,facility,0
infrastructure service,multiple service layer,1
access,requirement,0
missile and ordnance firing,combat training,1
access control,the security feature,2
activity,Global Health Security Agenda,0
law enforcement activity,Federal Agencies,0
dissemination,this regulation,0
administration,management,0
the ACO,responsible personnel,2
office,a resolution plan,0
expense,professional credential,0
the lease contracting officer,time,0
date,Treatment method,0
operation security,DoD IT,1
the distribution,function,0
report,the EC process,0
the cause,the FY,0
perceptual disability,term,0
attendance,student,0
equipment,Federal Government resource,2
radiographic and dye penetrant,a minimum,0
unclassified information,SNM facility,0
linguist,a detainee,0
consideration,the base,0
structure,the CUI Registry,0
sabotage,traditional method,0
family member,commercial fuel availability,0
alternative credential holder,medium priority,0
young child,parenting,1
the cost,this property,0
the use,test and evaluation plan,0
requirement,the DoD acquisition process,0
supercharger,the key point,0
regulation,regulation,0
first aid,principle,0
individual,member or Committee staff,2
recruit,initial entry training status,2
cook grease,dining facility,1
notification procedure,appropriate emergency response action,1
medical screening,health care service,2
age,the prisoner,0
who,active duty,0
any DoD,Coast Guard,1
turbocharger,the key point,0
a comprehensive audiological,induce PTS,0
priority,guidance,0
is,the IT,0
visitor control,function,0
storage,nuclear weapon stockpile,1
the Canadian Forces Affiliate Radio Service,affiliate or military auxiliary radio service,2
rodent control technique,vertebrate disease reservoir,0
first aid,basic care,2
unique test support capability,support requirement,1
name brand casual dining,Food and beverage activity,1
exercise,installation,0
the annual request,advisor request,0
an Environmental Condition,the facility,0
integrate product team,activity,0
floor,word,0
report,the hearing,0
environmental management,program,1
accusation,destabilizing event,2
training,remote access,0
JIPT,establish program event,1
employee,the employee,0
specialized team,resource,1
electrical equipment tank,operational purpose,1
a description,Dispute resolution procedure,0
conflict,issue,2
serious injury,or dental care,0
DoD,various authority,0
electronic game,government entertainment medium production,1
period,increase vulnerability,0
nondestructive testing,method,0
chlorine,volatile or acutely toxic industrial chemical,2
MEB narrative summary,member disability case,2
any support affidavit,the propose action,1
the establishment,library,0
the Directors,Comnonents,0
deployment,logistic action,1
detainee,any person,1
all activity,foreign defense and security establishment,0
professional meeting,training,1
the National Guard,component,1
automate information system,an automated capability,2
CENTAF,a formal name change,0
preparedness training,installation,0
an assessment,program,0
chapter,applicable law,0
the termination,remedy,0
the uniform guideline,regulation,2
require artifact,requirement,0
the Defense Security Service Academy,external resource,0
military academy,the Military Departments,1
lock,physical security support requirement,0
video,document,0
the development,documentation,0
religion,the unit,0
all modification,journal publication,0
the Computer Club,school sponsor club,0
licensure,clinical privileging standard,1
the cost,the request space,0
office space,a DoD installation facility,0
the dry dock,overhaul,0
operating instruction,documentation,2
counseling,measure,0
cigarette,consumption,0
part number,information,2
training exercise,emergency response support,1
cost saving,AT activity,0
the DRB President,decisional document,0
apprenticeship,training,1
custom,the Confidential material,0
any change,the JSWSR,0
a common access card,current DoD login credential,2
standard and specialized part,all item,0
memorandum,channel,0
executive order,various authority,0
operate building,facility,2
pesticide applicator certification number,certify official,0
the relationship,circumstance,0
the disposition action,time,0
family,government aircraft,0
the Ryukyu Islands,Japan,2
budget,FVAP,0
casual and work clothing,personal clothing,2
monitoring,publisher premise,0
a final decision,time,1
DFSP transaction processing oversight,regional office responsibility,1
survey,cost,0
the number,unaccompanied personnel,0
environmental law,consideration,1
device,personal property,2
interim stop,the AFMAO,0
originator,a record identifier,2
historical researcher,the Military Services,0
exercise,activity,2
life cycle analysis,climate change consideration,1
education,the Components SCI security program,0
any gathering,a partisan political gathering,0
assessment,SFA,0
natural disaster,any occurrence,1
technical assistance,country,0
the issue paper,exist tool,0
local mutual aid partner,partner agency,1
flood,a single incident,1
coordination,the MTF,0
current workforce requirement,criterion,2
a payment receipt,airfare transaction,1
the Military Service exchange,activity,1
card stock,CAC consumable,1
vocabulary,structural metadata,1
the summer month,summer language immersion program,0
ground water,any water,2
United States,the Combatant Commanders,0
pier,facility,1
material,all ACM,0
life,the lease,0
refueling area,activity,0
this one,provision,0
category,record,1
civil uprising,increase vulnerability,1
apprenticeship,job training and employment skill training,2
adopt child,Children,1
topic,child care,0
USNORTHCOM,DoD Components,2
laboratory,capability,0
rough note,document,2
interview,activity,2
copy,credential,0
quality surveillance,contract administration function,2
cost,Construction and renovation plan,2
the use,practice,0
transportation,area,0
MSDS,information source,2
magnetic tape,any datum,0
weapon,weapon,0
social networking,collaborative tool,2
National Guard member,active duty,1
rental car,cost,1
an overview,CAP representative,0
oily waste,any oil content,2
supply,functional area,1
type,item,0
pediatric cardiopulmonary,Emergency health and safety procedure,1
notification,the process,1
Military Department IGs,ig,1
oversight organization,program,0
brain injury,term,1
a JTF,activity,1
testing,research a systematic investigation,2
RD,special handling caveat,0
aerobatic demonstration,community relation,1
fence,item,1
disciplinary action,personnel action,2
target milestone,a material weakness,0
working paper,informal document,2
logistic,administrative and business application,1
cost datum,distribution datum,1
materiel,retirement,0
withdrawal,real property agreement,0
funding,support YRRP,0
the liner,landfill design,0
bit rate,the asset,0
those member,the corp,1
security,capability,1
naval distillate fuel,product,1
the point,plan and emergency secure storage location,0
date,specific election,0
distribution,product,0
logistic,area,0
tool,the CSA,0
reimbursement,ceta,0
timeline,tool,0
manuscript,political pursuit,0
poster,graphic art,2
DoD issuance,support guidance,1
confidential counseling,assistance,2
construction,joint project,1
comment,official purpose,0
DC3,CS and IA activity,2
Special,territory,0
specially train air and ground crew,pesticide application capability,0
the datum field,annual report,0
supply,USSOCOM,0
meal,diem,0
telephone,a user account,1
compensatory service,FAPE,1
an extra set,accommodation,1
attention,phrase,0
mail classification,mailer,0
all plan increment,procurement,0
polystyrene,plastic binder,0
the designate approve authority,the IA staff,0
business,the cover entity,0
associated concern,munition,0
program evaluation,activity,1
Downgrade,instruction,0
measure,resource,0
contracting,official,0
satellite,information sensor,2
adverse or reportable information,the PRB,0
assistance,technology,0
expert,pay,0
DEMIL,relate technical area,0
telephone service,support service,1
the testimony,SRA,0
discovery metadata,datum tagging,1
entertainment video,stress relief,2
the exchange,system,0
the National Agency Check,appropriate investigation,0
classified data spill,information,0
lounge,common area,2
travel,1 day,0
timely and effective configuration,the system life cycle,0
permit,the requester accountability,0
release,contingency location,0
the cost effective application,program,0
guidance,review process,1
the associate nuclear support facility,prototype,0
port,DoDs infrastructure,2
extreme environmental condition,factor,1
a reconciliation,indirect rate,0
the military family community,the civilian community,1
cash award,an award program,2
scientist,researcher,1
coordination,process action,0
the requirement,specific storage requirement,0
training,NDMS,0
the MEB,the DES,0
Somalia,North Africa,0
assignment,medical treatment,0
the DoD CFREP,all Departments military food service program,1
any successor,another recipient,0
the Commandant,subordinate element,0
advertising supplement,all commercial advertising,1
gift,USS,0
analytic,service,0
process step,the Service member,0
purpose,the CUI Registry,0
military flight operation quality,flight recorder raw datum,1
food,program element,0
equivalent document,the installation map,0
gain,fund,0
simulation,this issuance,0
an erection,arousal,2
summary,major work sponsor participation,0
acquisition,current plan,0
development,planning activity,1
right,any person,0
a description,budget guidance,0
assumption,potential risk,1
pay,cost,0
theater,air transportation,0
enterprise level,chain,1
special practice,safety requirement,0
bowl lifting,operate system,0
CDF,ropriate,0
primary apo,capacity,0
a syllabus,outline,2
operation,program,1
Administration,personnel level,0
procedure,this section,0
a def matrix,implementation plan,0
feature motion picture,medium production,1
a list,the reporting period,0
site history,medicine personnel,0
procedure,operation security requirement,1
duct,utility opening,2
reprimand,administrative power,2
cost,transportation cost,0
gold,critical metal,1
force structure change,factor,0
strike,movement,2
training,the DoD VE program,0
table service,Food and beverage activity,2
threat,threat,0
linear bar code,or carrier technology,0
comprehensive strategy development,emerge national security issue,0
blindness,visual impairment,2
Vietnam,country,2
community relation,approve PA activity,0
a cot,TDY,0
seal bid,approach,0
retention,and sd form,0
current and accurate defense ig,the IG DoD,0
system,item,0
bowling instruction,service,1
the review process,the hiring process,1
the primary CE,the IG,0
disposition,mitigation action,0
Combatant Command,policy priority,0
development,the QDR,0
continuity,related element,0
security assistance,activity,1
counselor,the EEOP staff,2
dedicated personnel resource,sufficient resource,0
counterdrug and counterterrorism activity,LEAs,0
a department or agency sponsorship letter,credential,1
travel,Administrative cost,2
investigator,the EEOP staff,2
programmer,researcher,2
competition,service,0
functional assistance,FCM program management,1
the use,this instruction,0
extra duty,mean,0
crime,directive,0
revision,requirement,1
romaine,50 percent dark green leave,0
summer student,temporary employee,2
the name,the Board,0
lagoon,treatment system,2
signal device,faulty equipment,0
member,the uniformed service,0
evacuation,rescue operation,1
banner,hard copy,0
stability operation,challenge,
measurement,documentation,
promotion incentive,program,
chemical agent,toxicological agent,
single Institutional Animal Care and Use Committee,task,
a UIC,a single entity,
website,document,
tattoo,mark,
the Defense Supplies,relate Reconstruction Finance Corporation entity,
foreign,regulation,
accession,the request record,
the airspace,the designate geographic area,
enterprise service,all IT,
network login,information system,
Egypt,country,
support,matter,
transponder,Transportation Safety Board modification,
support structure,superstructure,
the establishment,sexual assault,
size,item,
filter separator,system component,
the development,this issuance,
safety,human health,
legacy document,all classify document,
contractor,all personnel,
military liaison team,foreign country,
all military personnel,the DEERS database,
demand,area,
the Geneva Conventions,war,
infrastructure management,and management oversight,
operating instruction,purpose,
spill,contingency location,
ureterocystostomy,Ureteral abnormality,
outage,information,
cell phone,secure telephone,
personnel,security discipline,
electronic trade,private and public medium,
Privacy Act,CUI,
avionic,specialized item,
community center,public place,
enhance communication protection,protective device,
criminal and family court judge,civilian community agency,
reinstatement,employee,
Navy Reserve,the SELRES,
health,improper disposal,
eligibility criterion,the National Register process,
immunodeficiency,the immune mechanism,
medic,medical training,
action,an issuance action,
unofficial public speech,activity,
DoD civilian,deceased personnel,
license plate number,serial number,
partly or completely load flatbed,vehicle,
family member,the DEERS database,
personnel,Deploy agency capability,
postage rate,mailer,
domestic emergency,law enforcement activity,
depot,facility,
mold,Coating metal surface,
the cost,transportation and related cost,
ndst,civilian employee,
service,the MAAs,
respite,an hourly basis,
the authority,how key program decision,
regulatory guidance,component,
evaluation,installation,
the identification,dependent system,
those request,the case file,
a reprisal,action,
DoD personnel,domestic operation,
the Service member,complete service treatment record,
letter,forum,
education,mission program,
civilian control,human right,
the Status,office,
effort,the transportation requirement,
name,nominate unit,
a suite,segregated work area,
classroom,a DoD installation facility,
routine operational range,an environmental restoration activity,
social medium platform,the medium,
rail,rocket launcher,
a description,the change,
the Department,appropriate source,
DoD,ig,
correspond authority,fund,
transportation,support and C2 function,
FS,pay plan,
DCO internal defensive,cyberspace operation policy,
structure,facility,
the size,various factor,
CUI,information,
a result,location,
exercise,control,
situation,a cybersecurity breach,
the States,the continental United States,
a single central database,accounting communitys electronic case file,
national emergency,increase vulnerability,
service definition,functional capability,
family member,eligible beneficiary,
DSS,time,
establishment,utilization program,
the criterion,a minimum,
availability status,segment component,
record,the childs cumulative folder,
Presidential Rank,incentive award,
ita,eligible individual,
weapon station,facility,
release,and procedure,
a tank,the field,
section,this issuance,
MCIO investigator,appropriately skilled professional,
mission assurance coordination board,guidance development process,
assumption,joint force global action,
an advisory audit representative,business partner,
local government,official,
planning,the laser system life cycle,
plan,the EFA plan,1
relationship,the GAO,0
date,a record identifier,2
oil spill response capability,the environment,0
inventory,shipment,1
the communication sector,critical infrastructure,2
a DD Form,support agreement,1
legal personnel,family,0
proper working condition,the job,0
an installation,occasion,0
death,vital event,2
tomato,seven fresh topping,1
redesign,mean,0
change,build and natural infrastructure,0
protozoan,microorganism,2
network information,network provider,2
the rationale,meeting minute,0
item,donate property,0
design,project,1
cadet,initial entry training status,2
policy,key enabler,0
formal luncheon,meal,2
insider threat awareness,ISs program,0
require corrective measure,the inventory,1
a fund citation,complete billing information,1
outreach,support function,2
Raven Rock,the Pentagon Reservation,2
information,any form,0
false alert prevention,emergency beacon,1
permanent technical assistance field training position,foreign country,1
assembly,aircraft,0
officer,the facility,0
DoD policy,and regulation,1
photo,document,2
Reserve Units,Marine Corps,2
NSN,information,2
advanced technology,resource,1
security protocol,additional system specification,1
an external monitor port,provision,0
qualified examiner,qualified resource,2
a contingency,a spill prevention and response plan,2
recover chemical warfare material,agent,2
relate land,family housing,1
review,investigator,1
war reserve,product,2
the HIPAA Privacy Rule,the Omnibus Final Rule,2
magazine,private and public medium,2
export,international technology transfer activity,1
organic or unique military capability,military materiel,1
prescribe drug,control inventory item,2
source,classified information,0
outreach program,the DoD,0
grooming,pet care,2
soil component,Nonliving resource,2
control substance,reagent,1
specialized firefighting equipment,fire base camp,1
hill,topographical feature,2
UESC,alternative financing vehicle,0
privacy,HSR,0
the United States,government,1
eligibility,matter,0
nafi,DoD Components,2
the conflict,time,0
acquisition,future real property asset,2
the territorial sea,navigable water,2
corporation,any person,2
electricity,energy supply,2
the specific misconduct,revocation,2
location,information,2
control substance,control inventory item,2
identification,review,0
database,office automation package,1
map symbology,application,1
IDT,associate cost,0
delete,a flexible retention period,0
muscle atrophy,the hand,1
a generic designator,PCBs,1
demolition,offense,1
processing,illegal drug possession,1
muffler,faulty equipment,1
housing,reservation,1
application,principle,0
software,medium,0
SCI,method,0
the assignment,DARPAs annual program budget estimate,0
a complete review,all disability examination,2
record metadata,record,2
anonymous complaint,harassment complaint,1
member,high Government official,1
state and local government,outside entity,1
theater SC program,the host nation,0
associate joint container,all DoD intermodal container system,1
the Merit Systems Protection Board,administrative tribunal,2
welding,work function,2
guidance,reference material,2
acquisition strategy,activity,2
defense attach office,foreign country,2
a synthesis,a write eligibility determination report,2
command,personnel,0
any negative impact,the waiver,0
dialogue,program,0
air,resource,2
engineer,the DoD,0
Inspector General,the regularly schedule service site visit,1
Presidential Inaugurations,territory,0
information,information,2
fraud,misconduct,2
faculty,program,0
a COMCAM Appendix,deliberate plan,1
hypothermia,hazard,2
training exercise,or military activity,2
cultivation,illegal drug possession,0
justification,servicing agency,0
personal hygiene,topic,0
tank truck,delivery mode,2
all tier,Contractor personnel,0
Intelligence Community policy,various authority,1
a justification,that determination,2
image,file,2
witness statement,the investigation report,2
PPBE,CBRD RDA,0
NATO,marking,0
provision,this Directive,1
the labor,cost index,2
punch 1,rubber item,0
selection,DoD policy,0
the data set,incident,0
IHE,the weapon,0
distribution,operation,1
frequency,publication,0
chain saw,item,2
representation,the PPBE process,1
sustainment,challenge,1
the die,mission,0
all operation and maintenance cost,the Regional Centers,0
execution,Combatant Commanders,0
user,documentation,0
who,all DoD civilian personnel,0
a child development center,an alternate care provider,2
recommendation,revise safety rule,1
the type,member,0
some item,use electronic,0
