,Acronym,Label,doc_present,rdf_present,Phrase
1,A/D,acronym,False,True,
2,AST,acronym,False,True,
3,AO,acronym,False,True,
4,ASC,acronym,False,True,
5,AAC,acronym,False,True,
6,ACAT,acronym,False,True,
7,AMC/AMSC,acronym,False,True,
8,AMSC,acronym,False,True,
9,ATC,acronym,False,True,
10,ACF,acronym,False,True,
11,ACT,acronym,False,True,
12,ALT,acronym,False,True,
13,ACTD,acronym,False,True,
14,AMARG,acronym,False,True,
15,AFGLSC,acronym,False,True,
16,AF,acronym,False,True,
17,ABU,acronym,False,True,
18,AFB,acronym,False,True,
19,AFIOH,acronym,False,True,
20,AFIOH/SDR,acronym,False,True,
21,AFIOH/SDC,acronym,False,True,
22,AFI,acronym,False,True,
23,AFJI,acronym,False,True,
24,AFJM,acronym,False,True,
25,AFMAN,acronym,False,True,
26,AFMC,acronym,False,True,
27,AFRMWO,acronym,False,True,
28,AFR,acronym,False,True,
29,AFTO,acronym,False,True,
30,ALC,acronym,False,True,
32,AC NO,acronym,False,True,
34,ATF,acronym,False,True,
35,ATV,acronym,False,True,
36,ANSI,acronym,False,True,
37,ANSI INCITS,acronym,False,True,
38,ASTM,acronym,False,True,
40,AEDA,acronym,False,True,
41,ANMCS,acronym,False,True,
42,AAO,acronym,False,True,
44,AA,acronym,False,True,
45,AL/OEM,acronym,False,True,
46,AAFES,acronym,False,True,
47,ACU,acronym,False,True,
48,AEPS,acronym,False,True,
51,ACM,acronym,False,True,
52,ACOS,acronym,False,True,
53,ASD,acronym,False,True,
54,ASD(C3I),acronym,False,True,
55,ASD(L),acronym,False,True,
56,AHRS,acronym,False,True,
57,AIS,acronym,False,True,
58,ADP,acronym,False,True,
59,ADPE,acronym,False,True,
60,AUTODIN,acronym,False,True,
61,AIDC,acronym,False,True,
63,AOC,acronym,False,True,
64,AVCAL,acronym,False,True,
65,AWC,acronym,False,True,
66,AWM,acronym,False,True,
67,AWP,acronym,False,True,
69,BDOS,acronym,False,True,
70,BDU,acronym,False,True,
71,BGAD,acronym,False,True,
72,BIM,acronym,False,True,
73,BLDG,acronym,False,True,
74,BATF,acronym,False,True,
75,BPNSE,acronym,False,True,
76,BRS,acronym,False,True,
77,CIC,acronym,False,True,
78,COSIS,acronym,False,True,
79,CAD,acronym,False,True,
80,CAD/PAD,acronym,False,True,
81,CRT,acronym,False,True,
82,CGY,acronym,False,True,
83,CPU,acronym,False,True,
84,CIF,acronym,False,True,
85,CJCS,acronym,False,True,
86,CJCSM,acronym,False,True,
87,CARC,acronym,False,True,
88,CDE,acronym,False,True,
90,CMA,acronym,False,True,
91,CW,acronym,False,True,
92,CWC,acronym,False,True,
93,CBRN-D,acronym,False,True,
94,CBRN-IPE,acronym,False,True,
95,CBRN-D IPE,acronym,False,True,
96,CBRN,acronym,False,True,
97,CFO,acronym,False,True,
99,CB,acronym,False,True,
100,CFC,acronym,False,True,
102,CAP,acronym,False,True,
104,CCDR,acronym,False,True,
105,CCMD,acronym,False,True,
106,CCD,acronym,False,True,
107,CDRUSTRANSCOM,acronym,False,True,
108,CCL,acronym,False,True,
109,CCLI-ECCN,acronym,False,True,
110,CCLI,acronym,False,True,
111,COTS,acronym,False,True,
112,CML,acronym,False,True,
113,CAGE,acronym,False,True,
114,CSLA,acronym,False,True,
115,CIMM,acronym,False,True,
116,CAC,acronym,False,True,
117,COMSEC,acronym,False,True,
118,CD ROM,acronym,False,True,
119,CD,acronym,False,True,
120,CDD,acronym,False,True,
121,CERCLA,acronym,False,True,
122,CFL,acronym,False,True,
123,CMM,acronym,False,True,
124,COSAL,acronym,False,True,
125,CCP,acronym,False,True,
126,CONUS,acronym,False,True,
127,CRMS,acronym,False,True,
128,CRS,acronym,False,True,
129,CDRL,acronym,False,True,
130,CLIN,acronym,False,True,
131,COR,acronym,False,True,
132,CLS,acronym,False,True,
