,Term,Label,doc_present,rdf_present,Definition
0,interchangeability and substitutability (I),synonym,False,True,
1,interchangeable and substitutable,synonym,False,True,
2,interchangeable and/or substitutable,synonym,False,True,
3,synonym:  interchangeable and/or substitutable,synonym,False,True,
4,pallet,synonym,False,True,
5,accountable record,synonym,False,True,
6,accountable property officer,synonym,False,True,
7,accountable officer (AO),synonym,False,True,
8,APO,synonym,False,True,
9,Accountable Property System of Record (APSR),synonym,False,True,
10,APSR,synonym,False,True,
11,Accountable Property System of Record,synonym,False,True,
12,accountability record,synonym,False,True,
13,stock record,synonym,False,True,
14,total item property record,synonym,True,True,
15,materiel sourcing,synonym,False,True,
16,procurement lead time,synonym,False,True,
17,acquisition method code (AMC),synonym,False,True,
18,acquisition method,synonym,False,True,
19,active RFID,synonym,False,True,
20,active radio frequency identification,synonym,False,True,
21,military facility,synonym,False,True,
22,military installation,synonym,True,True,
23,U.S. Agency for International Development (USAID),synonym,False,True,
24,USAID,synonym,False,True,
25,service/agency level,synonym,False,True,
26,freezer,synonym,False,True,
27,refrigerator,synonym,False,True,
28,Airmen's Battle Uniform,synonym,False,True,
29,controlled inventory item (CII),synonym,False,True,
30,AMC,synonym,False,True,
31,Air Force Airmens Battle Uniform,synonym,False,True,
32,allies,synonym,True,True,
33,allied nations,synonym,False,True,
34,Air Mobility Command (AMC),synonym,False,True,
35,Army Materiel Command,synonym,False,True,
36,Army Materiel Command (AMC),synonym,False,True,
37,United States Army Materiel Command,synonym,False,True,
38,United States Army Materiel Command (USAMC),synonym,False,True,
39,USAMC,synonym,False,True,
40,Class V,synonym,False,True,
41,munitions,synonym,True,True,
42,ordnance,synonym,True,True,
43,counterfeit countermeasures,synonym,False,True,
44,antifreeze,synonym,False,True,
45,g-suit,synonym,False,True,
46,anti-freeze,synonym,False,True,
47,Assistant Secretary of Defense for Health Affairs (ASD(HA)),synonym,False,True,
48,Authorized Stockage List,synonym,False,True,
49,Authorized Stockage List (ASL),synonym,False,True,
50,stratification process,synonym,True,True,
51,DoD-wide visibility,synonym,False,True,
52,end-to-end visibility,synonym,False,True,
53,ASD(HA),synonym,False,True,
54,Assistant Secretary of Defense for Health Affairs,synonym,False,True,
55,ASL,synonym,False,True,
56,flight safety critical aircraft part (FSCAP),synonym,False,True,
57,materiel shortage,synonym,False,True,
58,barrier materiel,synonym,False,True,
59,barrier material,synonym,False,True,
60,bill of material (BOM),synonym,False,True,
61,bill of materiel,synonym,False,True,
62,BOM,synonym,False,True,
63,bill-of-material,synonym,False,True,
64,bulletproof vests,synonym,False,True,
65,flak suits,synonym,False,True,
66,package,synonym,False,True,
67,body armor,synonym,False,True,
68,purchaser,synonym,False,True,
69,Civil Aviation Authority,synonym,False,True,
70,Civil Aviation Authority (CAA),synonym,False,True,
71,contractors authorized to accompany the force,synonym,False,True,
72,contractors authorized to accompany the force (CAAF),synonym,False,True,
73,captured property,synonym,False,True,
74,captured material,synonym,False,True,
75,Commercial Airlift Review Board,synonym,False,True,
76,Commercial Airlift Review Board (CARB),synonym,False,True,
77,exterior container,synonym,True,True,
78,individual shipping container,synonym,False,True,
79,catalog management data (CMD),synonym,False,True,
80,catalog management data,synonym,False,True,
81,CMD,synonym,False,True,
82,commerce control list property,synonym,False,True,
83,centrally managed replenishment parts,synonym,False,True,
84,centrally managed item,synonym,False,True,
85,contractor furnished material,synonym,False,True,
86,contractor furnished material (CFM),synonym,False,True,
87,contractor furnished materiel,synonym,False,True,
88,contractor furnished materiel (CFM),synonym,False,True,
89,Comprehensive Inventory Management Improvement Plan,synonym,False,True,
90,Comprehensive Inventory Management Improvement Plan (CIMIP),synonym,False,True,
91,CAA,synonym,False,True,
92,Civil Reserve Air Fleet (CRAF),synonym,False,True,
93,CRAF,synonym,False,True,
94,Civil Reserve Air Fleet,synonym,False,True,
95,ration,synonym,True,True,
96,clothing and textiles,synonym,False,True,
97,clothing and textiles (Class II),synonym,False,True,
98,"petroleum, oil, and lubricants",synonym,False,True,
99,"petroleum, oil, and lubricants (POL)",synonym,False,True,
100,"Petroleum, Oils, and Lubricants",synonym,False,True,
101,POL,synonym,False,True,
102,construction and barrier materiel,synonym,False,True,
103,Construction/Barrier Materiel,synonym,False,True,
104,repair part,synonym,True,True,
105,ammunition,synonym,True,True,
106,personal demand item,synonym,False,True,
107,major end-items,synonym,False,True,
108,major end items,synonym,True,True,
109,medical material,synonym,False,True,
110,medical materiel,synonym,True,True,
111,Class II,synonym,False,True,
112,control list,synonym,False,True,
113,CCL property,synonym,False,True,
114,CARB,synonym,False,True,
115,common-user land transportation (CULT),synonym,False,True,
116,CULT,synonym,False,True,
117,common-user land transportation,synonym,False,True,
118,common user item (CUI),synonym,False,True,
119,common user items (CUIs),synonym,False,True,
120,CUI,synonym,False,True,
121,CUIs,synonym,False,True,
122,common user item,synonym,False,True,
123,CIMIP,synonym,False,True,
124,Class IV,synonym,False,True,
125,construction materiel,synonym,False,True,
126,construction material,synonym,False,True,
127,consumable item,synonym,False,True,
128,consumables,synonym,False,True,
129,consumable,synonym,False,True,
130,retail level,synonym,False,True,
131,user level,synonym,False,True,
132,wartime,synonym,False,True,
133,contractual agreement,synonym,False,True,
134,contractual requirements,synonym,False,True,
135,CFM,synonym,False,True,
136,CAAF,synonym,False,True,
137,contract award,synonym,False,True,
138,contract data requirements list (CDRL),synonym,False,True,
139,commerce control list (CCL),synonym,False,True,
140,air force controlled item,synonym,False,True,
141,may,synonym,False,True,
142,might,synonym,False,True,
143,anti-counterfeit,synonym,False,True,
144,counterfeit materiel,synonym,True,True,
145,counterfeit part,synonym,False,True,
146,counterfeit property,synonym,False,True,
147,counterfeit item,synonym,False,True,
148,critical safety item (CSI),synonym,False,True,
149,CSI,synonym,False,True,
150,critical safety item,synonym,True,True,
151,cross leveling,synonym,False,True,
152,cross-leveling,synonym,False,True,
153,cryptographic item,synonym,False,True,
154,cryptographic component,synonym,False,True,
155,cryptographic materiel,synonym,False,True,
156,demand,synonym,True,True,
157,dangerous materials,synonym,False,True,
158,dangerous property,synonym,False,True,
159,dangerous articles,synonym,False,True,
160,DASD(SCI),synonym,False,True,
161,Deputy Assistant Secretary of Defense for Logistics,synonym,False,True,
162,Deputy Assistant Secretary of Defense for Logistics (DASD(Log)),synonym,False,True,
163,Deputy Assistant Secretary of Defense for Supply Chain Integration,synonym,False,True,
