,hyponym,hypernym,proposed_label
0,the proper process,supervisory and management official on disciplinary adverse and performance base action,0.0
1,procedure,supervisory and management official on disciplinary adverse and performance base action,0.0
2,a write reprimand,a formal disciplinary action,0.0
3,reference to previous counseling,the reason for selection of the penalty,0.0
4,disciplinary action,the reason for selection of the penalty,0.0
5,attempt,the reason for selection of the penalty,0.0
6,a union representative,representative,0.0
7,a union representative,representative,0.0
8,supervisor,anyone,0.0
9,manager,anyone,2.0
10,cell phone,communication,2.0
11,pager,communication,0.0
12,lending identification card,dod identification,0.0
13,badge,dod identification,0.0
14,credential to,dod identification,0.0
15,the concealment,information,2.0
16,removal,information,2.0
17,charitable fund,an employee official duty,2.0
18,supervisory or fiduciary role,type of employment,0.0
19,contact,type of employment,0.0
20,length of service,employee work record,1.0
21,performance on the job,employee work record,2.0
22,ability,employee work record,0.0
23,unusual job tension,the offense,0.0
24,mental impairment,the offense,0.0
25,harassment,the offense,0.0
26,bad faith,the offense,0.0
27,malice,the offense,0.0
28,provocation on the part of,the offense,0.0
29,line installation,routine service,2.0
30,line,routine service,2.0
31,station,routine service,2.0
32,capital improvement,a strategic approach for manage revenue,0.0
33,cash reserve,a strategic approach for manage revenue,2.0
34,the pentagon,welfare of dod workforce in the ncr,0.0
36,designate building,welfare of dod workforce in the ncr,0.0
37,the white house,security liaison with government agencies,2.0
38,select special access,nonsensitive and sensitive position,1.0
39,a president,three voting member,0.0
40,one time monetary award,nomination for monetary recognition,0.0
41,increase in basic pay as a result of a performance award,nomination for monetary recognition,0.0
42,quality step increase,nomination for monetary recognition,0.0
43,a performance award,than one monetary award,0.0
44,bonus,than one monetary award,0.0
45,reprimand,notice of propose adverse action,0.0
46,mspb,an appeal with an agency,2.0
47,eeoc,an appeal with an agency,2.0
48,any matter,the control of osd principal staff management,0.0
49,sufficient detail,a clear statement of the issue,0.0
50,statement of witness,the grievance,0.0
51,record,the grievance,0.0
52,classroom training,their mission relate organizational and employee development need,0.0
53,parking,training in the local commute area,0.0
54,travel,training in the local commute area,0.0
55,individual course,academic degree training,0.0
56,expense for professional accreditation,professional credential,2.0
57,state impose and professional license,professional credential,2.0
58,certification,professional credential,1.0
59,an associate,a post secondary education,0.0
60,a bachelor,a post secondary education,0.0
61,a master,a post secondary education,0.0
62,a doctoral degree,a post secondary education,0.0
63,a specialist degree,a post secondary education,0.0
64,appointment,information from their official personnel record,0.0
65,position,information from their official personnel record,0.0
