,First Term,Second Term
0,Enclosures-,l~roadcast
1,FITNESS,PHYSICAL
2,CHARGED,KOREAN
3,Watercraft,worm
4,SAES,SUSPENSIONS
5,INSERTS,UINTEGRATION
6,DISASTERS,PADLOCKS
7,COMBINATION,DEVICES
8,CARRY,MISS
9,ESTECHSUPPORT,desc.internationagreements
10,CONSULTATION,PERFORMING
11,Bilingual,multilingual
12,full-day,part-day
13,IF,LOOSING
14,g/HP-hr,kg/hr
15,Breechblocks,Hidradenitis
16,Jacksonville,Resident
17,TRADEMARK,WEAPONS/POSSESSION
18,EYES,IRAQ
19,Knox,Lackland
20,BALLAST,NON-WAIVED
21,Crescent,PUW
22,POINTS,USING
23,Lahnda,epithelial
24,beryllium,ketone
25,Clarke,S.W
26,MZ,Pittsburgh
27,Hyperlinks,Late
28,Shp,prisms
29,DISABLED,YOUR
30,FREQUENTLY,RADIATION
31,.AircraA,Vascular
32,-plated,rosettes
33,Michle,Patricia
34,cdlary,view=text
35,LEAK,NON-OPERATING
36,Name/Position,_________________________________________________________
37,CRAFT,FURNITURE
38,EXCHANGE,REHABILITATION
39,Niger,protectorates
40,Alkali,encephalitis
41,FUNERAL,SPOUSE
42,Arrestor,___________________________________________________
43,Northop,Skytrain
44,APPROVAL,QUALIFICATION
45,FENCING,WASTEWATER
46,REPAYMENT,TOURS
47,Patriot,Shillelagh
48,Methyl,salted
49,FURNITURE,TAIL
50,Barbara,Shanahan
51,Thailand,carboxylic
52,Apprentice,Static
53,Bull,Mescalero
54,CATASTROPHIC,MAY
55,PRACTICES,REISSUES
56,A=Referred,BI
57,Geography,Non-OSD
58,GROUNDING,RAFTS
59,Christmas,oxalate
60,DISCRIMINATORY,SENTENCES
61,Ft,NSWC
62,Hughes,Raytheon
63,Commun~catlnns,T-I/
64,mackerel,silicon
65,\pe~,l~s
66,plantar,toe
67,ENLISTMENTS,REQUALIFICATION
68,AGAINST,MAY
69,FACILITY,OTHER
70,Highland,high-fat
71,COMPUTER,SYMBOL
72,BACKWASH,CARDHOLDER
73,INJURING,PRESENTING
74,Colorado,Pennsylvania
75,Demo,Lens
76,Bahrain,Egypt
77,CLOTHING,HIGH
78,LADY,PCLS
79,EXPORTABILITY,SIGNIFICANT
80,MOBILIZATION,PERMANENTLY
81,Romance,thc
82,attic,closets
83,COOPERATIVE,UTILITY
84,BOULEVARD,Pushtu-Afghan
85,Hyperlinks,Securing
86,ACCOUNTABILITY,REASONS
87,A~rcraft~lectr~cal,Organi~attonal
88,Intermittency,Segmenting
89,CHECKS,PRODUCTS
90,FLT,Shortcut
91,Protestant,Sam
92,Latvia,larynx
93,NAWC,Wicca
94,AZJ,Viet-nam
95,RECEIVE/CONCEAL/BUY,STOLEN
96,DISABILITIES,TRANSFERS
97,Neptune,Orion
98,EVENT,LABORATORIES
99,ESPIONAGE,GIVING
100,Ecology,economists
101,COORDINATION,RISK
102,Malta,Tonga
103,//www.dau.edu/tools/t/DAU-Glossary,//www.denix.osd.mil/denix/Public/Policy/BRAC/bcra.html
104,Pyridine,bifluoride
105,REQUISITIONING,RETURNS
106,Mullan,Murthy
107,..Pint,..Yard
108,Adigey,CONFIDENTIAL//SI//REL
109,MAN,RECOIL
110,ENROLLMENT,INSTITUTION
111,FEDERALLY,TRANSACTIONS
112,PENDING,PROCEEDINGS
113,TRAFFICKING/COMMERCIAL,TRAFFICKING/INVOLUNTARY
114,HAZARDOUS,PUBLICATIONS
115,IMPLIED,NON-INVOCATION
116,ABANDON,WRONGFUL
117,Stratoliner,Stratotanker
118,//www.acq.osd.mil/ie/,//www.gsa.gov/acquisition/purchasing-programs/gsa-schedules
119,Cooperations,Swaziland
120,ENDURING,HOSPITAL
121,AAA=Left,Booster
122,Bosnia/Herzegovina,Sudan
123,FOREIGN,PUBLIC
124,DEPARTMENTAL,Opioids
125,DANGER,SUPPRESS
126,CONTRACTS,LAUNCHERS
127,CONTACT,THIS
128,Augmentcc,Primarily
129,AUTHORIZATIONS,STORAGE
130,//www.acq.osd.mil/ie/,//www.careeronestop.org/
131,CLIENT,UNCLAIMED
132,Gilmore,Terry
133,Christ,Christian
134,Mosby,STRATCOM
135,U.S.-supported,prying
136,ASBESTOS-CONTAMINATED,FLYING
