,First Term,Second Term
0,or,in
1,radiological,nuclear
2,secretaries,chairman
3,civilian,activities
4,security,national
5,reenlistment,bonuses
6,voluntary,may
7,simulation,modeling
8,video,television
9,reports,coordination
10,gold,button
11,owned,operated
12,security,activity
13,war,act
14,may,duty
15,test,evaluation
16,states,operations
17,plan,guidance
18,incentive,bonus
19,grades,grade
20,commanders,combatant
21,keeper,gate
22,operational,cost
23,operations,medical
24,gi,bill
25,bonuses,bonus
26,screening,analysis
27,september,june
28,retired,file
29,november,december
30,logistics,headquarters
31,review,mandatory
32,force,air
33,materiel,clearance
34,funded,certified
35,readiness,manpower
36,logistics,agency
37,operational,administration
38,materials,equipment
39,criteria,authority
40,on,drug
41,support,medical
42,prevention,mitigation
43,rules,protection
44,november,january
45,construction,acquisition
46,compliance,access
47,production,engineering
48,pest,applicator
49,organizations,activities
50,definitions,acronyms
51,representation,publication
52,unique,identification
53,may,decision
54,lady,funerals
55,effective,date
56,personal,control
57,states,guard
58,officer,chief
59,district,columbia
60,video,audio
61,monetary,clothing
62,use,government
63,reproduction,printing
64,july,august
65,university,national
66,manual,instruction
67,threat,deputy
68,offenses,fraud
69,titling,indexing
70,security,acquisition
71,workforce,certification
72,publication,products
73,government,card
74,national,bureau
75,owned,controlled
76,review,reporting
77,overseas,other
78,pay,file
79,guidelines,guidance
80,contract,audit
81,workforce,reporting
82,management,certification
83,fully,duty
84,purple,heart
85,stripes,stars
86,states,bureau
87,review,processing
88,personal,card
89,may,march
90,pentagon,national
91,harm,abuse
92,guidance,clearance
93,positions,activities
94,clothing,allowances
95,medals,expeditionary
96,service,reduction
97,involving,fraud
98,fuel,energy
99,october,august
100,interment,deceased
101,process,certification
102,duty,commissioned
103,system,services
104,may,area
105,identification,benefits
106,theater,deployment
107,officer,act
108,servicemembers,life
109,safety,explosives
110,review,activities
111,studies,base
112,security,resources
113,type,category
114,national,headquarters
115,protest,dissident
116,television,radio
117,support,response
118,under,president
119,foreign,forces
120,programs,positions
121,shelter,homeless
122,safety,quality
123,year,fiscal
124,implementing,guidance
125,in,by
126,system,council
127,from,as
128,programming,planning
129,treaty,organization
130,planning,budgeting
131,fitness,body
132,with,or
133,oversight,development
134,evaluation,assessment
135,resources,programs
136,committee,card
137,opportunity,equal
138,fourth,estate
139,processing,board
140,purchase,card
141,status,duty
142,urgent,rapid
143,revitalizing,communities
144,protection,office
145,programming,budgeting
146,representation,products
147,inspector,counsel
148,publication,managing
149,operations,command
150,benefits,assessment
151,support,activities
152,federal,executive
153,departments,agencies
154,exhibits,artwork
155,states,command
156,search,rescue
157,or,by
158,limited,distribution
159,staff,joint
160,scholarships,fellowships
161,special,services
162,servicemembers,insurance
163,programs,education
164,secretary,deputy
165,special,operations
166,nonappropriated,fund
167,discrimination,complaints
168,nation,host
169,personnel,education
170,guard,bureau
171,senior,law
172,evaluation,development
173,educational,appointment
174,personnel,installations
175,remedies,related
176,services,service
177,operational,evaluation
178,process,planning
179,cost,construction
180,owned,inventions
181,medical,facility
182,investigative,criminal
183,welfare,recreation
184,secretaries,assistant
185,october,march
186,systems,protection
187,september,may
188,timing,navigation
189,educational,benefits
190,sites,law
191,issuance,instruction
192,united,forces
193,equipment,engineering
194,system,programs
195,reporting,performance
196,principles,parameters
197,quality,performance
198,involving,from
199,staff,chiefs
200,september,october
201,weapons,nuclear
202,maintenance,control
203,biosecurity,biosafety
204,name,domain
205,checks,background
206,officers,officer
207,picture,motion
208,acquisition,accounting
209,program,process
210,that,in
