,hyponym,hypernym
0,equipment,asset
1,patch,classified ISs
2,program review decision,DoD Component ERA and BRAC account programming
3,Joint Staff policy,the DoD
4,specially train air and ground crew,pesticide application capability
5,laboratory support,related service
6,program review decision,programming
7,letterhead,Assure printing service
8,sexual misconduct,the DEP
9,RMF security,authorization
10,the development,documentation
11,disposal,cycle
12,aluminum,metal
13,the cause,ship transfer
14,height,physical characteristic
15,OPCON,relation
16,solicitation,activity
17,part cleaning,work function
18,administrative appeal,classification
19,an Environmental,the facility
20,the human right verification information,nomination
21,configuration guideline,information
22,family housing,the DoD Components
23,tenant activity,each commodity
24,countermeasure,health hazard
25,funding,support YRRP
26,the impact,each 1 year assessment
27,nap time,all time
28,exercise,defense
29,adverse weather,event
30,a Presidential Library,a government repository
31,deploy force,that service member
32,implementation,tool
33,the purpose,electronic or write form
34,reprisal,way
35,survey,public information collection
36,education,immunization
37,the name,the waiver
38,notification,required action
39,the DoD Component,assistance
40,logistic,operational support
41,magazine,private and public medium
42,the Military Service,Military Services special officer personnel procurement program
43,date,information
44,copy,credential
45,USN,military personnel
46,a MIPR,document
47,tipping,actual cost
48,Somalia,North Africa
49,file size,the asset
50,separation,disciplinary action
51,DoDI,FAP guidance
52,all evaluation,the hearing
53,the subsequent storage location,the LIMS
54,product center,organization
55,facility,the JTS
56,the employment,defense
57,health care provider,family
58,all unit,the DoD
59,the evidentiary record,the investigation
60,investigation,response action
61,vent,utility opening
62,an individual,a DoD Component
63,development,training
64,the assignment ofFLOs,command
65,readiness,successful operational and mission performance
66,remote location assistance,deployment issue
67,a foreman,individual
68,tactical and strategic patient,medical care
69,any forensic or autopsy result,appropriate military authority
70,internet auction,approach
71,U,quality
72,DoD inventory,source
73,impulse control,personal skill
74,bodily excretion,pathogen
75,automobile,insurance coverage
76,fishing,public recreational opportunity
77,the conflict,time
78,use,record
79,release,Military Service
80,affidavit,case file information
81,light weapon,excess DoD property
82,applicable DoD civilian personnel,DoD Components
83,datum output,issue
84,record,additional information
85,the legislative and judicial branch,Federal Government agency
86,judge advocate,appropriately skilled professional
87,the UCMJ,law
88,user name,user information
89,a list,a minimum
90,justification,servicing agency
91,network,PITs
92,training course,reference material
93,asset criticality,risk factor
94,rdx,explosive powder
95,oil,any hazardous substance
96,stabilization support,DoD assistance
97,the collection,record
98,medical care,patient
99,category,record
100,the law,international law
101,crude pol,petroleum
102,terrorism,traditional method
103,boat,transport
104,some item,use electronic
105,response,agency
106,release,organization
107,recommendation,specific nuclear weapon system
108,draft,document
109,hazard,threat
110,license plate number,serial number
111,venipuncture,identify trigger
112,chlorine,volatile or acutely toxic industrial chemical
113,classification level,this enclosure
114,who,an interrogative
115,those govern application,procedure
116,spur,facility
117,intelligence supportability requirement,each mission
118,country clearance,requirement
119,pen,minor value
120,barge,an external source
121,replacement,facility
122,coordination,DSCA mission
123,national and international sporting event,special event
124,report,the DOHRP
125,secure storage,issa
126,a primary care manager,any provider
127,hospital food service program,military food service program
128,subject matter expert,provide assistance
129,relevant cyberspace,standard
130,education,a country
131,weekday,the month
132,clear defense contractor system processing,the NISP
133,approve safety level,the article
134,association,the community
135,defense and service attachs,position
136,budgeting,oversight
137,routine operational range,an environmental restoration activity
138,the specification,passive RFID collection system
139,cooperation,terrorist or criminal activity
140,the DEP,enlistment purpose
141,the annual request,advisor request
142,device,120 faulty equipment
143,life cycle analysis,climate change consideration
144,environmental permit,document
145,flood,natural catastrophe
146,injury,injury
147,incident,radiological matter
148,relevant admission,result
149,possibility,threat
150,sale,component
151,certificate,exemption
152,positive occult blood,gastrointestinal bleeding
153,the host nation,stakeholder
154,the Federal Bureau,enforcement agency
155,DoD function code,manpower management
156,boarding,service
157,direction,function
158,chronic school truancy,serious or repeated misbehavior
159,employee,the DEERS database
160,an Environmental Condition,the facility
161,information,ISP
162,information,any mean
163,amosite,mineral silicate
164,highway,DTS infrastructure
165,DoD Component enclave access point,DODIN
166,DoD Instruction,classified information
167,management,child
168,extent,supplemental facility requirement
169,support,document service
170,serialize part,DEMIL
171,military police,detention operation
172,mode neutral solution,good practice
173,the component part,product
174,human resource,and common support service
175,anonymous complaint,harassment complaint
176,development,allied and partner nation
177,civil disturbance operation,law enforcement activity
178,the Office,investigative service provider
179,school,medical source
180,information,any form
181,procurement policy,responsibility
182,the medical condition,waiver
183,a physician statement,document
184,volume,information
185,a payment receipt,airfare transaction
186,a process,application
187,naval operation,military
188,use,this issuance
189,amendment,an IRB
190,minor construction,that adequate resource
191,name brand casual dining,Food and beverage activity
192,outcome,improvement activity
193,the National Security Agency,intelligence organization
194,Inspector General,scheduled Service site visit
195,fund,item
196,budget,DoD functional area
197,life,the lease
198,the Department,appropriate governmental agency
199,risk acceptance,decision
200,federal executive agency,excess property
201,State licensure,the civilian community
202,guard force,item
203,communication,the communication
204,asbestos removal,engineering control
205,test,instrument
206,transferee,another recipient
207,theater,air transportation
208,the data set,incident
209,number,the EFMP
210,development,requirement
211,contractor,personnel
212,tool,the CSA
213,educational requirement,continuous learning
214,core jmet,mef
215,purchase,any mean
216,Tyvek,a solid front
217,concept,applicable documentation
218,water,service
219,tablet,those material
220,fire,natural catastrophe
221,communication,challenge
222,operation,program
223,gift item,donate property
224,heat exchanger,cool water system
225,cost,factor
226,repair,remote access
227,cleaning,protective measure
228,ptd,template
229,the detainee,time
230,pay,cost
231,aluminum phosphide,solid fumigant formulation
232,the application,the record
233,integrity,core belief
234,information,SPP activity
235,the DD Form,complete loading document
236,engine,component
237,the EMB SSG,the NLCC EMB structure
238,criticism,measure
239,the 1978 MARPOL Protocol,1973 MARPOL Convention
240,information,asset
241,chaplain,professional
242,those facility,federal contribution
243,inflation factor,the summary datum
244,war reserve,petroleum product
245,award,the cover CGCA
246,remain transport and mortuary affair,fatality management assistance
247,execution,the conduct
248,wage,service
249,bullying,discrimination
250,location,information
251,appropriate exemption criterion,appropriate medical standard
252,moulaged actor,when alternative
253,humanitarian organization,customer
254,compliance,issuance
255,contractor,civilian employee
256,water,territorial sense
257,Presidential Rank,incentive award
258,datum source,document
259,organ,nudity
260,update datum,the repository
261,unit,word
262,the eHealth Exchange,exchange arrangement
263,the Service member,time
264,export,international technology transfer activity
265,current instruction,guidance
266,label,specialized use
267,human capital,FVAP
268,a physical address,Geographic location information
269,programming,Combatant Commanders
270,business,national organization
271,administrative proceeding,litigation
272,data transport cycle upgrade,Optimization Plan
273,hardware,service
274,career,authorize appointment
